Country,Continent,Type,Domestic primary material,Domestic Products,Virgin content consumption,Recycled content consumption,Primary material trade (imports),Primary material trade (exports),Products (imports),Products (exports),Total generated plastic waste,Waste recovered for recycling,Waste to Energy,Waste Incinerated (without energy recovery),Waste landfilled,Waste (import),Waste (Export)
USA,North America,OECD,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fwww.epa.gov%2Fsites%2Fdefault%2Ffiles%2F2021-04%2Fepa_material_generation_recycling_1960-2018_0.xlsx&wdOrigin=BROWSELINK,https://view.officeapps.live.com/op/view.aspx?src=https%3A%2F%2Fwww.epa.gov%2Fsites%2Fdefault%2Ffiles%2F2021-04%2Fepa_material_generation_recycling_1960-2018_0.xlsx&wdOrigin=BROWSELINK,https://www.epa.gov/sites/default/files/2021-01/documents/2018_tables_and_figures_dec_2020_fnl_508.pdf,,https://www.epa.gov/sites/default/files/2021-01/documents/2018_tables_and_figures_dec_2020_fnl_508.pdf,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
UK,Europe,OECD,https://ec.europa.eu/eurostat/databrowser/view/ds-056121__custom_12988136/default/table?lang=en,,,,https://www.uktradeinfo.com/trade-data/ots-custom-table/,https://www.uktradeinfo.com/trade-data/ots-custom-table/,https://www.uktradeinfo.com/trade-data/ots-custom-table/,https://www.uktradeinfo.com/trade-data/ots-custom-table/,https://www.gov.uk/government/statistics/uk-waste-data/uk-statistics-on-waste,https://www.gov.uk/government/statistics/uk-waste-data/uk-statistics-on-waste,https://www.gov.uk/government/statistics/uk-waste-data/uk-statistics-on-waste,https://www.gov.uk/government/statistics/uk-waste-data/uk-statistics-on-waste,https://www.gov.uk/government/statistics/uk-waste-data/uk-statistics-on-waste,https://www.uktradeinfo.com/trade-data/ots-custom-table/,https://www.uktradeinfo.com/trade-data/ots-custom-table/
Australia,Australia/Oceania,OECD,,https://www.abs.gov.au/statistics/industry/industry-overview/australian-industry/latest-release,https://www.dcceew.gov.au/sites/default/files/documents/apff-national-report-2020-21.pdf,https://www.dcceew.gov.au/sites/default/files/documents/apff-national-report-2020-21.pdf,https://www.abs.gov.au/statistics/economy/international-trade/international-trade-goods/jul-2024,https://www.abs.gov.au/statistics/economy/international-trade/international-trade-goods/jul-2024,https://www.abs.gov.au/statistics/economy/international-trade/international-trade-goods/jul-2024,https://www.abs.gov.au/statistics/economy/international-trade/international-trade-goods/jul-2024,https://www.dcceew.gov.au/environment/protection/waste/how-we-manage-waste/data-hub/data-insights/national-data-viewer,https://www.dcceew.gov.au/environment/protection/waste/how-we-manage-waste/data-hub/data-insights/national-data-viewer,https://www.dcceew.gov.au/environment/protection/waste/how-we-manage-waste/data-hub/data-insights/national-data-viewer,,https://www.dcceew.gov.au/environment/protection/waste/how-we-manage-waste/data-hub/data-insights/national-data-viewer,,https://www.dcceew.gov.au/environment/protection/waste/how-we-manage-waste/data-hub/data-insights/waste-export-data-viewer
Canada,North America,OECD,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3810015001,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3810015001,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3810015001,https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3810015001,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/solid-waste-diversion-disposal.html,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/solid-waste-diversion-disposal.html,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/solid-waste-diversion-disposal.html,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/solid-waste-diversion-disposal.html,https://www.canada.ca/en/environment-climate-change/services/environmental-indicators/solid-waste-diversion-disposal.html,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
New Zealand,Australia/Oceania,OECD,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://environment.govt.nz/facts-and-science/waste/waste-statistics/,https://environment.govt.nz/facts-and-science/waste/waste-facilities-and-disposal/,,,https://environment.govt.nz/facts-and-science/waste/waste-facilities-and-disposal/,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Japan,Asia,OECD,https://www.meti.go.jp/english/statistics/tyo/seidou/index.html,https://www.meti.go.jp/english/statistics/tyo/seidou/index.html,https://www.meti.go.jp/statistics/tyo/seidou/result/ichiran/resourceData/06_kami/nenpo/h2dgg2020k.xls,https://www.meti.go.jp/statistics/tyo/seidou/result/ichiran/resourceData/06_kami/nenpo/h2dgg2020k.xls,https://www.jetro.go.jp/en/reports/statistics.html,https://www.jetro.go.jp/en/reports/statistics.html,https://www.jetro.go.jp/en/reports/statistics.html,https://www.jetro.go.jp/en/reports/statistics.html,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
South Korea,Asia,OECD,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1F02012&conn_path=I2,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1F02012&conn_path=I2,,,https://www.kita.org/kStatistics/commodity/commodities/commoditiesList.do,https://www.kita.org/kStatistics/commodity/commodities/commoditiesList.do,https://www.kita.org/kStatistics/commodity/commodities/commoditiesList.do,https://www.kita.org/kStatistics/commodity/commodities/commoditiesList.do,,,,,,,
Norway,Europe,OECD,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1F02012&conn_path=I2,https://kosis.kr/statHtml/statHtml.do?orgId=101&tblId=DT_1F02012&conn_path=I2,,,https://www.ssb.no/en/natur-og-miljo/miljoregnskap/artikler/plastic-account-for-norway,https://www.ssb.no/en/natur-og-miljo/miljoregnskap/artikler/plastic-account-for-norway,https://www.ssb.no/en/natur-og-miljo/miljoregnskap/artikler/plastic-account-for-norway,https://www.ssb.no/en/natur-og-miljo/miljoregnskap/artikler/plastic-account-for-norway,https://www.ssb.no/en/statbank/table/10514,https://www.ssb.no/en/statbank/table/10513/,https://www.ssb.no/en/statbank/table/10513/,https://www.ssb.no/en/statbank/table/10513/,https://www.ssb.no/en/statbank/table/10513/,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Sweden,Europe,OECD,https://ec.europa.eu/eurostat/databrowser/view/ds-056121__custom_12988136/default/table?lang=en,,https://ec.europa.eu/eurostat/databrowser/view/env_ac_mfa__custom_13004790/default/table?lang=en,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__MI__MI0305/MI0305T01C/,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__MI__MI0305/MI0305T003/,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__MI__MI0305/MI0305T01C/table/tableViewLayout1/,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__MI__MI0305/MI0305T01C/table/tableViewLayout1/,https://www.statistikdatabasen.scb.se/pxweb/en/ssd/START__MI__MI0305/MI0305T01C/table/tableViewLayout1/,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Netherlands,Europe,OECD,https://ec.europa.eu/eurostat/databrowser/view/ds-056121__custom_12988136/default/table?lang=en,,https://ec.europa.eu/eurostat/databrowser/view/env_ac_mfa__custom_13004790/default/table?lang=en,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://opendata.cbs.nl/,https://opendata.cbs.nl/,https://opendata.cbs.nl/,https://opendata.cbs.nl/,https://opendata.cbs.nl/,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Austria,Europe,OECD,https://ec.europa.eu/eurostat/databrowser/view/ds-056121__custom_12988136/default/table?lang=en,,https://ec.europa.eu/eurostat/databrowser/view/env_ac_mfa__custom_13004790/default/table?lang=en,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://ec.europa.eu/eurostat/databrowser/view/ten00106/default/table?lang=en,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,,,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Belgium,Europe,OECD,https://ec.europa.eu/eurostat/databrowser/view/ds-056121__custom_12988136/default/table?lang=en,,https://ec.europa.eu/eurostat/databrowser/view/env_ac_mfa__custom_13004790/default/table?lang=en,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://ec.europa.eu/eurostat/databrowser/view/ten00106/default/table?lang=en,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Chile,South America,OECD,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Colombia,South America,OECD,,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Costa Rica,Central America,OECD,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Czech Republic,Europe,OECD,,,https://ec.europa.eu/eurostat/databrowser/view/env_ac_mfa__custom_13004790/default/table?lang=en,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://csu.gov.cz/waste?pocet=10&start=0&podskupiny=283&razeni=-datumVydani,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Denmark,Europe,OECD,https://ec.europa.eu/eurostat/databrowser/view/ds-056121__custom_12988136/default/table?lang=en,,https://ec.europa.eu/eurostat/databrowser/view/env_ac_mfa__custom_13004790/default/table?lang=en,,https://www.statbank.dk/SITC2R4M,https://www.statbank.dk/SITC2R4M,https://www.statbank.dk/SITC2R4M,https://www.statbank.dk/SITC2R4M,https://www.dst.dk/en/Statistik/emner/miljoe-og-energi/groent-nationalregnskab/materiale-og-affaldsregnskaber,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Estonia,Europe,OECD,https://ec.europa.eu/eurostat/databrowser/view/ds-056121__custom_12988136/default/table?lang=en,https://andmed.stat.ee/en/stat/Lepetatud_tabelid__Majandus. Arhiiv__Toostus. Arhiiv/TO17,https://ec.europa.eu/eurostat/databrowser/view/env_ac_mfa__custom_13004790/default/table?lang=en,,https://andmed.stat.ee/en/stat/Lepetatud_tabelid__Majandus. Arhiiv__Valiskaubandus. Arhiiv__valiskaubandus-1995-2003__uldkaubandus/VKY02/table/tableViewLayout2,https://andmed.stat.ee/en/stat/Lepetatud_tabelid__Majandus. Arhiiv__Valiskaubandus. Arhiiv__valiskaubandus-1995-2003__uldkaubandus/VKY02/table/tableViewLayout2,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://andmed.stat.ee/en/stat/keskkond__surve-keskkonnaseisundile__jaatmete-teke/KK610,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Finland,Europe,OECD,,,https://ec.europa.eu/eurostat/databrowser/view/env_ac_mfa__custom_13004790/default/table?lang=en,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://ec.europa.eu/eurostat/databrowser/view/ten00108/default/table?lang=en,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Germany,Europe,OECD,,,https://ec.europa.eu/eurostat/databrowser/view/env_ac_mfa__custom_13004790/default/table?lang=en,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://ec.europa.eu/eurostat/databrowser/view/ten00108/default/table?lang=en,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,https://comtradeplus.un.org/TradeFlow,https://www.destatis.de/EN/Press/2022/06/PE22_N035_51.html
Greece,Europe,OECD,,,https://ec.europa.eu/eurostat/databrowser/view/env_ac_mfa__custom_13004790/default/table?lang=en,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://ec.europa.eu/eurostat/databrowser/view/ten00108/default/table?lang=en,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Hungary,Europe,OECD,,,https://ec.europa.eu/eurostat/databrowser/view/env_ac_mfa__custom_13004790/default/table?lang=en,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://ec.europa.eu/eurostat/databrowser/view/ten00108/default/table?lang=en,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Iceland,Europe,OECD,,,https://ec.europa.eu/eurostat/databrowser/view/env_ac_mfa__custom_13004790/default/table?lang=en,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://ec.europa.eu/eurostat/databrowser/view/ten00108/default/table?lang=en,https://ec.europa.eu/eurostat/databrowser/view/env_wastrt__custom_13004468/default/table?lang=en,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
Israel,Asia,OECD,,,,,,,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://comtradeplus.un.org/TradeFlow?Frequency=A&Flows=X&CommodityCodes=340540&Partners=0&Reporters=all&period=all&AggregateBy=none&BreakdownMode=plus,https://ec.europa.eu/eurostat/databrowser/view/ten00108/default/table?lang=en,,,,,https://comtradeplus.un.org/TradeFlow,https://comtradeplus.un.org/TradeFlow
